,score,energy,sa_score,rdkit_mol,DFT,smiles,cut_idx,scoring
"(22, 49)",-66.3,-66.33894458863695,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cd88f0>,-28.7,Cc1ccccc1C(C)CC(C)N,12.0,rdkit_embed_scoring_NH3toN2
"(19, 2)",-65.3,-65.30049977180894,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cd8eb0>,-23.8,Cc1ccc(CC(C)N)cc1,10.0,rdkit_embed_scoring_NH3toN2
"(49, 46)",-65.2,-65.24265687720879,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cf9930>,-29.0,CCCC(C)CC(C)N,8.0,rdkit_embed_scoring_NH3toN2
"(40, 7)",-65.1,-65.14400864165567,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cf9cf0>,10.8,NC(O)Cc1ccccc1-c1ccccc1,3.0,rdkit_embed_scoring_NH3toN2
"(25, 42)",-61.5,-65.5555206304904,0.9374509731096444,<rdkit.Chem.rdchem.Mol object at 0x7fce34c162f0>,-18.6,CC(=O)c1ccc(F)c(C(=O)N=CN)c1,3.0,rdkit_embed_scoring
"(13, 1)",-61.4,-61.44962419273105,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34c10ef0>,-25.7,CC(=O)c1cc(O)c(C(=O)CN)cc1O,11.0,rdkit_embed_scoring
"(42, 17)",-60.7,-63.21548553518954,0.9598703565009512,<rdkit.Chem.rdchem.Mol object at 0x7fce34c16470>,-16.4,NC=NC(=O)c1cccc(Br)c1,11.0,rdkit_embed_scoring
"(47, 15)",-60.6,-60.74457842377884,0.9972796348729224,<rdkit.Chem.rdchem.Mol object at 0x7fce34c163b0>,-0.6,CCc1cccc(C(=O)N=CN)c1,11.0,rdkit_embed_scoring
"(15, 16)",-58.6,-58.59552192628379,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34ce1a30>,-19.8,CC(=O)Nc1ccc(F)c(C(=O)Cc2ccnc(N)c2)c1,7.0,rdkit_embed_scoring
"(11, 43)",-58.1,-58.11078407603615,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cf9db0>,-40.2,CC(=O)c1ccc(F)c(C(=O)CN)c1,13.0,rdkit_embed_scoring
"(24, 37)",-74.3,-74.25159643943877,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34b9dd30>,-20.5,NCCCc1ncnc2ccccc12,13.0,rdkit_embed_scoring
"(50, 11)",-65.3,-65.28233555816465,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34bc5d70>,-17.2,NCCOC(=O)c1ncnc2ccccc12,11.0,rdkit_embed_scoring
"(13, 32)",-58.9,-62.28740564201348,0.9456225005010876,<rdkit.Chem.rdchem.Mol object at 0x7fce34c21c70>,2.8,C=C(CCCN)c1n[nH]c2ccccc12,11.0,rdkit_embed_scoring
"(41, 15)",-57.9,-57.91129194865488,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34ba5730>,1.5,NCCCOc1ncnc2cccnc12,14.0,rdkit_embed_scoring
"(45, 17)",-55.5,-55.451446031462616,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34baf7f0>,-14.4,NCCCOc1ccnc2cccnc12,14.0,rdkit_embed_scoring
"(35, 49)",-55.1,-57.094908333375024,0.9650503809304416,<rdkit.Chem.rdchem.Mol object at 0x7fce34ba57f0>,-1.9,NCC=Cc1ncnc2ccccc12,4.0,rdkit_embed_scoring
"(16, 36)",-53.2,-53.22031130669556,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34baf870>,4.1,NCCc1ncnc2ccccc12,12.0,rdkit_embed_scoring
"(31, 1)",-101.5,-101.48681931352812,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34bafbf0>,-46.6,Nc1c(F)c([O-])cc([O-])c1F,5.0,rdkit_embed_scoring_NH3plustoNH3
"(49, 0)",-96.5,-97.42816263426366,0.9904554890894788,<rdkit.Chem.rdchem.Mol object at 0x7fce34b448f0>,-47.8,Nc1cc([O-])c(F)c([O-])c1F,10.0,rdkit_embed_scoring_NH3plustoNH3
"(48, 48)",-94.1,-95.83888733167588,0.9815812937943766,<rdkit.Chem.rdchem.Mol object at 0x7fce34b378b0>,-42.0,Nc1c(F)c([O-])cc([O-])c1Br,5.0,rdkit_embed_scoring_NH3plustoNH3
"(50, 49)",-89.8,-89.77554889096791,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34bbbcf0>,-40.0,Nc1cc([O-])c(F)c([O-])c1,6.0,rdkit_embed_scoring_NH3plustoNH3
"(23, 20)",-89.7,-89.66104986023188,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34bc5f30>,-44.7,Nc1cc([O-])cc([O-])c1F,7.0,rdkit_embed_scoring_NH3plustoNH3
"(31, 17)",-88.6,-88.60618697087038,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34b32bb0>,-40.4,Nc1c(F)c([O-])cc([O-])c1Cl,5.0,rdkit_embed_scoring_NH3plustoNH3
"(40, 40)",-73.2,-73.19136072737773,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34aa32b0>,-11.5,CCCC1(N)CCCCC1,7.0,rdkit_embed_scoring_NH3toN2
"(17, 22)",-69.7,-71.66869448744193,0.9731770733168144,<rdkit.Chem.rdchem.Mol object at 0x7fce34b44bf0>,-15.7,CCC(C)(C)CC(C)(C)N,7.0,rdkit_embed_scoring_NH3toN2
"(22, 2)",-69.2,-75.07647276796109,0.9223498081462204,<rdkit.Chem.rdchem.Mol object at 0x7fce34b7f970>,-35.7,CC(C)CC(C)(C)C(C)(C)N,8.0,rdkit_embed_scoring_NH3toN2
"(26, 46)",-65.7,-65.72408799848746,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34b7fb70>,-11.8,CC(C)(N)CC1CCCC1,7.0,rdkit_embed_scoring_NH3toN2
"(7, 6)",-65.6,-65.61451657311221,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34aa3370>,-0.3,CC(C)(N)CCCC1CC1,7.0,rdkit_embed_scoring_NH3toN2
"(17, 6)",-65.5,-65.528922818753,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34b7fc30>,-6.0,CNC(=O)CC(C)(C)N,6.0,rdkit_embed_scoring_NH3toN2
"(12, 40)",-70.3,-70.31529287078179,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34aa39b0>,-27.4,C=C(C)CCCC(C)N,8.0,rdkit_embed_scoring_NH3toN2
"(17, 10)",-69.7,-70.18529253250064,0.993381638218114,<rdkit.Chem.rdchem.Mol object at 0x7fce34b2b7b0>,-26.5,C=C(C)CCC(C)(C)N,6.0,rdkit_embed_scoring_NH3toN2
"(9, 39)",-68.6,-68.59099685417692,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3486a8f0>,-30.4,CCCN(C)CC(C)N,8.0,rdkit_embed_scoring_NH3toN2
"(21, 33)",-67.0,-67.04301861837446,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3499aa30>,-31.0,CC(C)C(C)(C)N,4.0,rdkit_embed_scoring_NH3toN2
"(30, 0)",-66.9,-66.91238800705082,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce349c2db0>,-29.1,CC(C)(N)CCC1CCC1,2.0,rdkit_embed_scoring_NH3toN2
"(41, 30)",-66.6,-72.36211354561048,0.9198144161868156,<rdkit.Chem.rdchem.Mol object at 0x7fce348d76b0>,-29.5,C=C(C)CC(C)(C)N,6.0,rdkit_embed_scoring_NH3toN2
"(40, 43)",-66.3,-67.52442938700058,0.9814678515676428,<rdkit.Chem.rdchem.Mol object at 0x7fce348d7d30>,-33.7,CCCN1CCCC(N)(CC)C1,5.0,rdkit_embed_scoring_NH3toN2
"(34, 34)",-65.8,-65.83820825070953,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3498c7b0>,-27.9,CNCCC(C)(C)N,5.0,rdkit_embed_scoring_NH3toN2
"(42, 33)",-65.7,-65.71739086346345,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3489f470>,-29.1,CC(C)CCC(C)(C)N,6.0,rdkit_embed_scoring_NH3toN2
"(39, 33)",-65.7,-68.35971521479995,0.9609091866750128,<rdkit.Chem.rdchem.Mol object at 0x7fce348d75f0>,-32.2,CCCCN1CCCC(N)(C2CCCC2)C1,8.0,rdkit_embed_scoring_NH3toN2
"(26, 17)",-65.6,-65.58366244495626,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3499afb0>,-30.2,CC(C)(N)CC1CCC1,3.0,rdkit_embed_scoring_NH3toN2
"(39, 27)",-65.3,-65.29633493307477,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce348d7930>,-26.2,CC(C)CC(C)(C)N,3.0,rdkit_embed_scoring_NH3toN2
"(47, 49)",-65.1,-65.55272831750078,0.9937232023112732,<rdkit.Chem.rdchem.Mol object at 0x7fce3489f7f0>,-28.4,CCCCN1CCCC(N)(CC)C1,11.0,rdkit_embed_scoring_NH3toN2
"(30, 11)",-64.9,-65.55052398463106,0.9896763269140983,<rdkit.Chem.rdchem.Mol object at 0x7fce349c2f70>,-24.9,CCCC(C)(N)CC,6.0,rdkit_embed_scoring_NH3toN2
"(33, 7)",-64.8,-68.58872679157095,0.9450150825726495,<rdkit.Chem.rdchem.Mol object at 0x7fce3498c370>,-30.5,CCCN1CCCC(N)(C2CCCC2)C1,8.0,rdkit_embed_scoring_NH3toN2
"(42, 44)",-64.8,-64.79739454921834,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3489f6b0>,-28.2,CCNCCC(C)(C)N,5.0,rdkit_embed_scoring_NH3toN2
"(48, 35)",-64.8,-67.23544597174858,0.9642091741883198,<rdkit.Chem.rdchem.Mol object at 0x7fce3489fbf0>,-28.3,CCCCN1CCCC(N)(C2CCC2)C1,5.0,rdkit_embed_scoring_NH3toN2
"(17, 24)",-64.7,-64.67734609515544,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3499acb0>,-30.3,CCCCC(C)(C)N,5.0,rdkit_embed_scoring_NH3toN2
"(50, 12)",-64.6,-64.57909223361462,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3489ffb0>,-25.4,CCCN(C)CC(C)(C)N,4.0,rdkit_embed_scoring_NH3toN2
"(37, 26)",-64.5,-64.4617055881273,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce348d7770>,-25.2,CCCCCC(C)(C)N,6.0,rdkit_embed_scoring_NH3toN2
"(32, 28)",-73.5,-73.50840858330616,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34a07af0>,-6.2,NC(O)CCCC1CCCCC1,6.0,rdkit_embed_scoring_NH3toN2
"(34, 11)",-69.9,-69.9060675879761,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34a07e30>,-44.8,CC(C)(N)CCC1CCCCC1,3.0,rdkit_embed_scoring_NH3toN2
"(29, 44)",-67.9,-67.86756163706653,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34a07f30>,-34.2,CNCCC1(N)CCCCC1,5.0,rdkit_embed_scoring_NH3toN2
"(25, 7)",-67.0,-67.00862563484294,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34a0ecb0>,-28.8,C=CCC1(N)CCCCC1,4.0,rdkit_embed_scoring_NH3toN2
"(42, 44)",-70.8,-70.77141747939757,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34625a30>,-35.6,CCCCC(C)(C)C1(N)CCCCC1,10.0,rdkit_embed_scoring_NH3toN2
"(45, 34)",-68.2,-70.38246545514845,0.9688774655343568,<rdkit.Chem.rdchem.Mol object at 0x7fce3462f3b0>,-34.8,CCCCC(C)C1(N)CCCCC1,7.0,rdkit_embed_scoring_NH3toN2
"(40, 28)",-67.7,-67.69271895156012,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3461c170>,-28.0,CSCC1(N)CCCCC1,6.0,rdkit_embed_scoring_NH3toN2
"(48, 46)",-66.6,-66.61082155030886,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3469b6b0>,-31.0,NC1(C2CCCCC2)CCCCC1,0.0,rdkit_embed_scoring_NH3toN2
"(44, 29)",-66.3,-66.29562471619496,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3462f570>,-18.7,CNC(N)Cc1ccccc1,4.0,rdkit_embed_scoring_NH3toN2
"(25, 9)",-65.9,-65.92628020438602,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3461c3f0>,-29.6,CC(N)Cc1ccccc1,3.0,rdkit_embed_scoring_NH3toN2
"(47, 20)",-65.8,-65.78056020281207,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34625870>,-25.7,NC1(CCCCl)CCCCC1,7.0,rdkit_embed_scoring_NH3toN2
